ap,dv,lr,area,color
8520.0,750.0,3820.0,VIS,08858C
8520.0,750.0,3820.0,VIS,08858C
8520.0,720.0,3850.0,VIS,08858C
8520.0,700.0,3850.0,VIS,08858C
8520.0,700.0,3850.0,VIS,08858C
8520.0,700.0,3870.0,VIS,08858C
8520.0,650.0,3870.0,VIS,08858C
8520.0,650.0,3870.0,VIS,08858C
8520.0,650.0,3870.0,VIS,08858C
8520.0,570.0,3920.0,VIS,08858C
8520.0,570.0,3920.0,VIS,08858C
8520.0,550.0,3920.0,VIS,08858C
8520.0,550.0,3920.0,VIS,08858C
8520.0,500.0,3950.0,VIS,08858C
8520.0,650.0,3870.0,VIS,08858C
8520.0,650.0,3870.0,VIS,08858C
8520.0,620.0,3900.0,VIS,08858C
8520.0,720.0,3850.0,VIS,08858C
8500.0,970.0,3750.0,VIS,08858C
8520.0,920.0,3770.0,VIS,08858C
8520.0,900.0,3770.0,VIS,08858C
8520.0,900.0,3770.0,VIS,08858C
8520.0,870.0,3770.0,VIS,08858C
8520.0,800.0,3820.0,VIS,08858C
8520.0,770.0,3820.0,VIS,08858C
8520.0,770.0,3820.0,VIS,08858C
8520.0,770.0,3820.0,VIS,08858C
8520.0,750.0,3820.0,VIS,08858C
8520.0,750.0,3820.0,VIS,08858C
8520.0,720.0,3850.0,VIS,08858C
8520.0,720.0,3850.0,VIS,08858C
8520.0,950.0,3750.0,VIS,08858C
8500.0,1170.0,3650.0,VIS,08858C
8500.0,1170.0,3650.0,VIS,08858C
8500.0,1200.0,3650.0,VIS,08858C
8500.0,1170.0,3650.0,VIS,08858C
8500.0,1200.0,3650.0,VIS,08858C
8500.0,1170.0,3650.0,VIS,08858C
8500.0,1170.0,3650.0,VIS,08858C
8500.0,1170.0,3650.0,VIS,08858C
8500.0,1150.0,3670.0,VIS,08858C
8500.0,1100.0,3670.0,VIS,08858C
8500.0,1120.0,3670.0,VIS,08858C
8500.0,1120.0,3670.0,VIS,08858C
8500.0,1120.0,3670.0,VIS,08858C
8500.0,1120.0,3670.0,VIS,08858C
8500.0,1120.0,3670.0,VIS,08858C
8500.0,1100.0,3670.0,VIS,08858C
8500.0,1100.0,3670.0,VIS,08858C
8500.0,1170.0,3650.0,VIS,08858C
8500.0,1070.0,3700.0,VIS,08858C
8500.0,1100.0,3670.0,VIS,08858C
8500.0,1120.0,3670.0,VIS,08858C
8500.0,1070.0,3700.0,VIS,08858C
8500.0,1070.0,3700.0,VIS,08858C
8500.0,1100.0,3670.0,VIS,08858C
8500.0,1070.0,3700.0,VIS,08858C
8500.0,1070.0,3700.0,VIS,08858C
8500.0,1050.0,3700.0,VIS,08858C
8500.0,1020.0,3720.0,VIS,08858C
8500.0,1020.0,3720.0,VIS,08858C
8500.0,1020.0,3720.0,VIS,08858C
8500.0,970.0,3720.0,VIS,08858C
8500.0,1120.0,3670.0,VIS,08858C
8500.0,1170.0,3650.0,VIS,08858C
8500.0,1120.0,3670.0,VIS,08858C
8500.0,1070.0,3700.0,VIS,08858C
8500.0,1070.0,3700.0,VIS,08858C
8500.0,1120.0,3670.0,VIS,08858C
8500.0,1020.0,3720.0,VIS,08858C
8500.0,1020.0,3720.0,VIS,08858C
8500.0,1000.0,3720.0,VIS,08858C
8500.0,970.0,3750.0,VIS,08858C
8500.0,1170.0,3650.0,VIS,08858C
8500.0,1100.0,3670.0,VIS,08858C
8500.0,1070.0,3700.0,VIS,08858C
8500.0,1020.0,3720.0,VIS,08858C
8500.0,1170.0,3650.0,VIS,08858C
8500.0,1170.0,3650.0,VIS,08858C
8500.0,1150.0,3670.0,VIS,08858C
8500.0,1150.0,3670.0,VIS,08858C
8500.0,1120.0,3670.0,VIS,08858C
8500.0,1070.0,3700.0,VIS,08858C
8500.0,1020.0,3720.0,VIS,08858C
8500.0,1150.0,3670.0,VIS,08858C
8500.0,1170.0,3650.0,VIS,08858C
8500.0,1620.0,3450.0,cc,CCCCCC
8500.0,1620.0,3450.0,cc,CCCCCC
8500.0,1600.0,3470.0,cc,CCCCCC
8500.0,1650.0,3450.0,others,CCCCCC
8500.0,1600.0,3470.0,cc,CCCCCC
8500.0,1550.0,3500.0,cc,CCCCCC
