MouseID,ExpDate,en,ProbeName,imec,epoch,InitDepth,clusterID,amp,SpikeN,posX,posY,peakt,ClusterDepth,peak,trough,PTratio,Sign,footprint,duration,CCFAcronym,CCFName,CCFColor,label,new_label,index,unique_list,artefacts,new_add,delete,keep
ZYE_0007,9/23/2020,1,p1,0,1,200,0,191,471,2,1,42,450,60.8,-130.2,0.5,1,61,0.7,VISp4,Primary visual area layer 4,08858C,VIS,VIS,1,1,0,0,0,1
ZYE_0007,9/23/2020,1,p1,0,1,200,1,151,4844,1,1,41,450,52.4,-98.7,0.5,1,70,0.63,VISp4,Primary visual area layer 4,08858C,VIS,VIS,2,1,0,0,0,1
ZYE_0007,9/23/2020,1,p1,0,1,200,4,73,15823,1,5,40,426,18.6,-54.3,0.3,1,56,0.73,VISpm2/3,posteromedial visual area layer 2/3,08858C,VIS,VIS,3,1,0,0,0,1
ZYE_0007,9/23/2020,1,p1,0,1,200,6,114,9844,1,9,41,402,28,-85.9,0.3,1,26,0.87,VISpm2/3,posteromedial visual area layer 2/3,08858C,VIS,VIS,4,1,0,0,0,1
ZYE_0007,9/23/2020,1,p1,0,1,200,7,109,2700,1,7,40,414,31.6,-77,0.4,1,36,0.73,VISpm2/3,posteromedial visual area layer 2/3,08858C,VIS,VIS,5,1,0,0,0,1
ZYE_0007,9/23/2020,1,p1,0,1,200,8,84,76,3,12,42,384,27,-57.4,0.5,1,43,0.57,VISpm2/3,posteromedial visual area layer 2/3,08858C,VIS,VIS,6,1,0,0,0,1
ZYE_0007,9/23/2020,1,p1,0,1,200,16,304,82,5,20,41,336,103.2,-201.2,0.5,1,56,0.33,VISpm2/3,posteromedial visual area layer 2/3,08858C,VIS,VIS,7,1,0,0,0,1
ZYE_0007,9/23/2020,1,p1,0,1,200,18,292,82,5,20,40,336,101.2,-191.2,0.5,1,56,0.3,VISpm2/3,posteromedial visual area layer 2/3,08858C,VIS,VIS,8,1,0,0,0,1
ZYE_0007,9/23/2020,1,p1,0,1,200,19,290,86,5,20,42,336,98.4,-191.3,0.5,1,54,0.33,VISpm2/3,posteromedial visual area layer 2/3,08858C,VIS,VIS,9,1,0,0,0,1
ZYE_0007,9/23/2020,1,p1,0,1,200,31,108,1697,8,34,42,252,28.7,-79.8,0.4,1,31,0.6,VISpm2/3,posteromedial visual area layer 2/3,08858C,VIS,VIS,10,1,0,0,0,1
ZYE_0007,9/23/2020,1,p1,0,1,200,32,170,1323,8,34,41,252,33.2,-136.7,0.2,1,39,0.6,VISpm2/3,posteromedial visual area layer 2/3,08858C,VIS,VIS,11,1,0,0,0,1
ZYE_0007,9/23/2020,1,p1,0,1,200,33,100,630,3,37,42,234,17.1,-82.6,0.2,1,21,1.07,VISpm2/3,posteromedial visual area layer 2/3,08858C,VIS,VIS,12,1,0,0,0,1
ZYE_0007,9/23/2020,1,p1,0,1,200,34,68,16095,8,38,41,228,15.2,-53.2,0.3,1,26,0.93,VISpm2/3,posteromedial visual area layer 2/3,08858C,VIS,VIS,13,1,0,0,0,1
ZYE_0007,9/23/2020,1,p1,0,1,200,41,96,22672,8,45,41,186,18.6,-77.1,0.2,1,23,0.9,VISpm2/3,posteromedial visual area layer 2/3,08858C,VIS,VIS,14,1,0,0,0,1
ZYE_0007,9/23/2020,1,p1,0,1,200,55,54,2440,4,23,41,318,20.1,-34.3,0.6,1,25,0.2,VISpm2/3,posteromedial visual area layer 2/3,08858C,VIS,VIS,15,1,0,0,0,1
ZYE_0007,9/23/2020,1,p1,0,1,200,57,62,1235,3,22,41,324,15.3,-46.4,0.3,1,24,0.23,VISpm2/3,posteromedial visual area layer 2/3,08858C,VIS,VIS,16,1,0,0,0,1
ZYE_0007,9/23/2020,1,p1,0,1,200,60,91,798,5,25,42,306,28.6,-62.2,0.5,1,26,0.17,VISpm2/3,posteromedial visual area layer 2/3,08858C,VIS,VIS,17,1,0,0,0,1
ZYE_0007,9/23/2020,1,p1,0,1,200,62,60,9313,1,4,40,432,13.2,-46.6,0.3,1,21,0.6,VISpm2/3,posteromedial visual area layer 2/3,08858C,VIS,VIS,18,1,0,0,0,1
ZYE_0007,9/23/2020,1,p1,0,2,200,1,202,5772,7,5,42,676,39.3,-163,0.2,1,38,0.7,VISp5,Primary visual area layer 5,08858C,VIS,VIS,19,1,0,0,0,1
