MouseID,ExpDate,en,ProbeName,imec,epoch,InitDepth,clusterID,Amp (uV),SpikeN,posX,posY,peakt,ClusterDepth (um),CCFName,CCFAcronym,CCFColor,Peak (uV),Trough (uV),PTratio,Duration (ms),Footprint (um),artefacts,label,new_label
ZYE_0007,09/23/2020,1,p1,0,1,200,0,191,471,2,1,42,450,Primary visual area layer 4,VISp4,08858C,60.8,-130.2,0.5,0.7,61,0,VIS,VIS
ZYE_0007,09/23/2020,1,p1,0,1,200,1,151,4844,1,1,41,450,Primary visual area layer 4,VISp4,08858C,52.4,-98.7,0.5,0.63,70,0,VIS,VIS
ZYE_0007,09/23/2020,1,p1,0,1,200,4,73,15823,1,5,40,426,posteromedial visual area layer 4,VISpm4,08858C,18.6,-54.3,0.3,0.73,56,0,VIS,VIS
ZYE_0007,09/23/2020,1,p1,0,1,200,6,114,9844,1,9,41,402,posteromedial visual area layer 4,VISpm4,08858C,28,-85.9,0.3,0.87,26,0,VIS,VIS
ZYE_0007,09/23/2020,1,p1,0,1,200,7,109,2700,1,7,40,414,posteromedial visual area layer 4,VISpm4,08858C,31.6,-77,0.4,0.73,36,0,VIS,VIS
ZYE_0007,09/23/2020,1,p1,0,1,200,8,84,76,3,12,42,384,posteromedial visual area layer 4,VISpm4,08858C,27,-57.4,0.5,0.57,43,0,VIS,VIS
ZYE_0007,09/23/2020,1,p1,0,1,200,16,304,82,5,20,41,336,posteromedial visual area layer 2/3,VISpm2/3,08858C,103.2,-201.2,0.5,0.33,56,0,VIS,VIS
ZYE_0007,09/23/2020,1,p1,0,1,200,18,292,82,5,20,40,336,posteromedial visual area layer 2/3,VISpm2/3,08858C,101.2,-191.2,0.5,0.3,56,0,VIS,VIS
ZYE_0007,09/23/2020,1,p1,0,1,200,19,290,86,5,20,42,336,posteromedial visual area layer 2/3,VISpm2/3,08858C,98.4,-191.3,0.5,0.33,54,0,VIS,VIS
ZYE_0007,09/23/2020,1,p1,0,1,200,31,108,1697,8,34,42,252,posteromedial visual area layer 2/3,VISpm2/3,08858C,28.7,-79.8,0.4,0.6,31,0,VIS,VIS
ZYE_0007,09/23/2020,1,p1,0,1,200,32,170,1323,8,34,41,252,posteromedial visual area layer 2/3,VISpm2/3,08858C,33.2,-136.7,0.2,0.6,39,0,VIS,VIS
ZYE_0007,09/23/2020,1,p1,0,1,200,33,100,630,3,37,42,234,posteromedial visual area layer 2/3,VISpm2/3,08858C,17.1,-82.6,0.2,1.07,21,0,VIS,VIS
ZYE_0007,09/23/2020,1,p1,0,1,200,34,68,16095,8,38,41,228,posteromedial visual area layer 2/3,VISpm2/3,08858C,15.2,-53.2,0.3,0.93,26,0,VIS,VIS
ZYE_0007,09/23/2020,1,p1,0,1,200,41,96,22672,8,45,41,186,posteromedial visual area layer 2/3,VISpm2/3,08858C,18.6,-77.1,0.2,0.9,23,0,VIS,VIS
ZYE_0007,09/23/2020,1,p1,0,1,200,55,54,2440,4,23,41,318,posteromedial visual area layer 2/3,VISpm2/3,08858C,20.1,-34.3,0.6,0.2,25,0,VIS,VIS
ZYE_0007,09/23/2020,1,p1,0,1,200,57,62,1235,3,22,41,324,posteromedial visual area layer 2/3,VISpm2/3,08858C,15.3,-46.4,0.3,0.23,24,0,VIS,VIS
ZYE_0007,09/23/2020,1,p1,0,1,200,60,91,798,5,25,42,306,posteromedial visual area layer 2/3,VISpm2/3,08858C,28.6,-62.2,0.5,0.17,26,0,VIS,VIS
ZYE_0007,09/23/2020,1,p1,0,1,200,62,60,9313,1,4,40,432,posteromedial visual area layer 4,VISpm4,08858C,13.2,-46.6,0.3,0.6,21,0,VIS,VIS
ZYE_0007,09/23/2020,1,p1,0,2,200,1,202,5772,7,5,42,676,Primary visual area layer 5,VISp5,08858C,39.3,-163,0.2,0.7,38,0,VIS,VIS
ZYE_0007,09/23/2020,1,p1,0,2,200,2,57,2746,1,13,43,628,Primary visual area layer 5,VISp5,08858C,21.3,-36,0.6,0.83,12,0,VIS,VIS
