MouseID,ExpDate,en,ProbeName,imec,epoch,InitDepth,clusterID,amp,SpikeN,posX,posY,peakt,ClusterDepth,CCFCoord_1,CCFCoord_2,CCFCoord_3,CCFName,CCFAcronym,CCFColor,peak,trough,PTratio,duration,footprint,label,artefacts,duration_AS
ZYE_0007,9/23/2020,1,p1,0,1,200,0,191,471,2,1,42,450,30,153,187,Primary visual area layer 4,VISp4,08858C,60.75342,-130.16718,0.46673378,0.67,61,VIS,0,0.7
ZYE_0007,9/23/2020,1,p1,0,1,200,1,151,4844,1,1,41,450,30,153,187,Primary visual area layer 4,VISp4,08858C,52.4277,-98.6895,0.531238886,0.63,70,VIS,0,0.63
ZYE_0007,9/23/2020,1,p1,0,1,200,4,73,15823,1,5,40,426,29,154,187,posteromedial visual area layer 4,VISpm4,08858C,18.61236,-54.25524,0.343051842,0.83,56,VIS,0,0.73
ZYE_0007,9/23/2020,1,p1,0,1,200,6,114,9844,1,9,41,402,28,154,187,posteromedial visual area layer 4,VISpm4,08858C,27.98874,-85.94586,0.325655477,0.87,26,VIS,0,0.87
ZYE_0007,9/23/2020,1,p1,0,1,200,7,109,2700,1,7,40,414,28,154,187,posteromedial visual area layer 4,VISpm4,08858C,31.60638,-76.96962,0.410634482,0.7,36,VIS,0,0.73
ZYE_0007,9/23/2020,1,p1,0,1,200,8,84,76,3,12,42,384,28,155,187,posteromedial visual area layer 4,VISpm4,08858C,26.99621053,-57.42852632,0.470083637,0.57,43,VIS,0,0.57
ZYE_0007,9/23/2020,1,p1,0,1,200,16,304,82,5,20,41,336,26,155,187,posteromedial visual area layer 2/3,VISpm2/3,08858C,103.2339512,-201.1943415,0.513105639,0.33,56,VIS,0,0.33
ZYE_0007,9/23/2020,1,p1,0,1,200,18,292,82,5,20,40,336,26,155,187,posteromedial visual area layer 2/3,VISpm2/3,08858C,101.196439,-191.1894146,0.529299382,0.33,56,VIS,0,0.3
ZYE_0007,9/23/2020,1,p1,0,1,200,19,290,86,5,20,42,336,26,155,187,posteromedial visual area layer 2/3,VISpm2/3,08858C,98.41060465,-191.3140465,0.514392991,0.33,54,VIS,0,0.33
ZYE_0007,9/23/2020,1,p1,0,1,200,31,108,1697,8,34,42,252,23,157,187,posteromedial visual area layer 2/3,VISpm2/3,08858C,28.67436,-79.80804,0.35929162,0.6,31,VIS,0,0.6
ZYE_0007,9/23/2020,1,p1,0,1,200,32,170,1323,8,34,41,252,23,157,187,posteromedial visual area layer 2/3,VISpm2/3,08858C,33.1929,-136.7145,0.242789902,0.6,39,VIS,0,0.6
ZYE_0007,9/23/2020,1,p1,0,1,200,33,100,630,3,37,42,234,22,157,187,posteromedial visual area layer 2/3,VISpm2/3,08858C,17.07264,-82.63476,0.206603613,0.73,21,VIS,0,1.07
ZYE_0007,9/23/2020,1,p1,0,1,200,34,68,16095,8,38,41,228,22,157,187,posteromedial visual area layer 2/3,VISpm2/3,08858C,15.21234,-53.20926,0.285896477,0.93,26,VIS,0,0.93
ZYE_0007,9/23/2020,1,p1,0,1,200,41,96,22672,8,45,41,186,20,158,187,posteromedial visual area layer 2/3,VISpm2/3,08858C,18.56556,-77.11704,0.240745236,0.9,23,VIS,0,0.9
ZYE_0007,9/23/2020,1,p1,0,1,200,55,54,2440,4,23,41,318,26,155,187,posteromedial visual area layer 2/3,VISpm2/3,08858C,20.11464,-34.33716,0.58579801,0.2,25,VIS,0,0.2
