Amplitude,Spike Count,Area,Peak (uV),Trough (uV),PTratio,Duration (ms),Footprint
191,471,VISp4,60.8,-130.2,0.5,0.7,61
151,4844,VISp4,52.4,-98.7,0.5,0.63,70
73,15823,VISpm4,18.6,-54.3,0.3,0.73,56
114,9844,VISpm4,28,-85.9,0.3,0.87,26
109,2700,VISpm4,31.6,-77,0.4,0.73,36
84,76,VISpm4,27,-57.4,0.5,0.57,43
304,82,VISpm2/3,103.2,-201.2,0.5,0.33,56
292,82,VISpm2/3,101.2,-191.2,0.5,0.3,56
290,86,VISpm2/3,98.4,-191.3,0.5,0.33,54
108,1697,VISpm2/3,28.7,-79.8,0.4,0.6,31
170,1323,VISpm2/3,33.2,-136.7,0.2,0.6,39
100,630,VISpm2/3,17.1,-82.6,0.2,1.07,21
68,16095,VISpm2/3,15.2,-53.2,0.3,0.93,26
96,22672,VISpm2/3,18.6,-77.1,0.2,0.9,23
54,2440,VISpm2/3,20.1,-34.3,0.6,0.2,25
62,1235,VISpm2/3,15.3,-46.4,0.3,0.23,24
91,798,VISpm2/3,28.6,-62.2,0.5,0.17,26
60,9313,VISpm4,13.2,-46.6,0.3,0.6,21
202,5772,VISp5,39.3,-163,0.2,0.7,38
57,2746,VISp5,21.3,-36,0.6,0.83,12
83,11390,VISp5,26.1,-57.2,0.5,0.27,23
107,114,VISp5,32.4,-74.6,0.4,0.6,36
186,2683,VISp5,66.8,-119.5,0.6,0.47,42
184,179,VISp4,58.9,-125.5,0.5,0.43,40
90,7824,VISp4,78.1,-11.7,6.7,0.27,11
475,450,VISp4,186.5,-288.4,0.6,0.17,57
97,2129,VISp4,26.5,-70,0.4,0.23,12
126,195,VISp4,27.4,-98.2,0.3,0.7,62
102,3893,VISp4,53.8,-47.9,1.1,0.7,33
100,5037,VISpm4,29.5,-70.9,0.4,0.77,31
141,1336,VISpm4,44.1,-97.4,0.5,0.67,31
77,3340,VISp5,17,-60.2,0.3,0.97,31
236,2406,VISp6a,64,-171.7,0.4,0.67,69
653,2965,VISp6a,128.4,-525,0.2,0.73,49
363,3149,VISp6a,104.7,-258.2,0.4,0.6,53
575,5956,VISp6a,107.4,-467.3,0.2,0.8,48
518,493,VISp6a,110.7,-407.2,0.3,0.8,50
333,183,VISp6a,90.7,-242.4,0.4,0.67,51
738,391,VISp6a,140,-598.1,0.2,0.67,59
302,4706,VISp6a,79,-223.3,0.4,0.7,48
138,4543,VISp6a,38.9,-98.7,0.4,0.67,58
238,2253,VISp5,63.7,-174.5,0.4,0.67,87
812,1183,VISp5,157.3,-654.9,0.2,0.7,74
391,1494,VISp5,82.4,-308.3,0.3,0.67,56
789,1589,VISp5,147.4,-642.1,0.2,0.67,70
198,475,VISp5,57.4,-140.3,0.4,0.7,63
752,249,VISp5,142.9,-608.9,0.2,0.67,72
292,5149,VISp5,80.1,-212.2,0.4,0.53,79
526,548,VISp5,126.2,-399.4,0.3,0.57,100
267,3908,VISp6a,62.6,-204.2,0.3,0.67,91
81,20086,VISp5,23.8,-57.7,0.4,0.97,31
305,5629,VISp5,71.3,-234,0.3,0.57,80
